region,county,state,risk_score,lat,lon
"Brown County, 20.0",Brown County,20.0,0.0135,39.8283,-98.5795
"Brown County, 27.0",Brown County,27.0,0.011399999999999999,39.8283,-98.5795
"Brown County, 31.0",Brown County,31.0,0.006987444125115871,39.8283,-98.5795
"Brown County, 39.0",Brown County,39.0,0.016351718455553055,39.8283,-98.5795
"Brown County, 46.0",Brown County,46.0,0.006600000000000001,39.8283,-98.5795
"Brown County, 48.0",Brown County,48.0,0.012899999999999998,39.8283,-98.5795
"Brown County, 55.0",Brown County,55.0,0.0087,39.8283,-98.5795
"Brule County, 46.0",Brule County,46.0,0.005699999999999999,39.8283,-98.5795
"Brunswick County, 37.0",Brunswick County,37.0,0.0138,39.8283,-98.5795
"Brunswick County, 51.0",Brunswick County,51.0,0.0174,39.8283,-98.5795
"Bryan County, 13.0",Bryan County,13.0,0.0093,39.8283,-98.5795
"Bryan County, 40.0",Bryan County,40.0,0.0105,39.8283,-98.5795
"Buchanan County, 19.0",Buchanan County,19.0,0.011399999999999999,39.8283,-98.5795
"Buchanan County, 29.0",Buchanan County,29.0,0.0141,39.8283,-98.5795
"Buchanan County, 51.0",Buchanan County,51.0,0.0183,39.8283,-98.5795
"Buckingham County, 51.0",Buckingham County,51.0,0.011101730167865753,39.8283,-98.5795
"Bucks County, 42.0",Bucks County,42.0,0.012899999999999998,39.8283,-98.5795
"Buena Vista City, 51.0",Buena Vista City,51.0,0.011399999999999999,39.8283,-98.5795
"Buena Vista County, 19.0",Buena Vista County,19.0,0.0102,39.8283,-98.5795
"Buffalo County, 31.0",Buffalo County,31.0,0.0075,39.8283,-98.5795
"Buffalo County, 46.0",Buffalo County,46.0,0.014530293643474579,39.8283,-98.5795
"Buffalo County, 55.0",Buffalo County,55.0,0.011594589799642563,39.8283,-98.5795
"Bullitt County, 21.0",Bullitt County,21.0,0.014937452971935272,39.8283,-98.5795
"Bulloch County, 13.0",Bulloch County,13.0,0.011399999999999999,39.8283,-98.5795
"Bullock County, 1.0",Bullock County,1.0,0.012087447568774223,39.8283,-98.5795
"Buncombe County, 37.0",Buncombe County,37.0,0.01592315174639225,39.8283,-98.5795
"Bureau County, 17.0",Bureau County,17.0,0.015600000000000001,39.8283,-98.5795
"Burke County, 13.0",Burke County,13.0,0.015644587576389313,39.8283,-98.5795
"Burke County, 37.0",Burke County,37.0,0.012299999999999998,39.8283,-98.5795
"Burke County, 38.0",Burke County,38.0,0.006880301050841808,39.8283,-98.5795
"Burleigh County, 38.0",Burleigh County,38.0,0.007051732856780291,39.8283,-98.5795
"Burleson County, 48.0",Burleson County,48.0,0.012,39.8283,-98.5795
"Burlington County, 34.0",Burlington County,34.0,0.016200000000000003,39.8283,-98.5795
"Burnet County, 48.0",Burnet County,48.0,0.0126,39.8283,-98.5795
"Burnett County, 55.0",Burnett County,55.0,0.013951734639704227,39.8283,-98.5795
"Burt County, 31.0",Burt County,31.0,0.01018030196428299,39.8283,-98.5795
"Butler County, 1.0",Butler County,1.0,0.011873156763613224,39.8283,-98.5795
"Butler County, 19.0",Butler County,19.0,0.011616017669439316,39.8283,-98.5795
"Butler County, 20.0",Butler County,20.0,0.012899999999999998,39.8283,-98.5795
"Butler County, 21.0",Butler County,21.0,0.01699458807706833,39.8283,-98.5795
"Butler County, 29.0",Butler County,29.0,0.0177,39.8283,-98.5795
"Butler County, 31.0",Butler County,31.0,0.007308876141905785,39.8283,-98.5795
"Butler County, 39.0",Butler County,39.0,0.015299999999999998,39.8283,-98.5795
